iter	Passed	Remaining
431	1683	2213
432	1688	2210
433	1691	2206
434	1695	2202
435	1699	2198
436	1703	2195
437	1707	2190
438	1711	2186
439	1715	2183
440	1719	2179
441	1722	2175
442	1726	2170
443	1729	2165
444	1732	2161
445	1736	2156
446	1739	2152
447	1743	2148
448	1746	2142
449	1749	2138
450	1752	2133
451	1755	2127
452	1757	2122
453	1760	2117
454	1763	2112
455	1766	2106
456	1769	2101
457	1771	2096
458	1774	2091
459	1777	2086
460	1779	2080
461	1782	2075
462	1785	2070
463	1787	2065
464	1790	2060
465	1793	2055
466	1796	2049
467	1798	2044
468	1801	2039
469	1804	2034
470	1806	2029
471	1809	2024
472	1812	2019
473	1815	2014
474	1817	2009
475	1820	2004
476	1823	1998
477	1825	1993
478	1828	1989
479	1831	1984
480	1833	1978
481	1836	1973
482	1838	1967
483	1840	1962
484	1843	1957
485	1845	1952
486	1848	1947
487	1850	1941
488	1852	1936
489	1863	1939
490	1865	1934
491	1868	1929
492	1871	1924
493	1873	1919
494	1876	1914
495	1879	1909
496	1882	1905
497	1885	1900
498	1887	1895
499	1890	1890
500	1893	1885
501	1896	1880
502	1898	1876
503	1901	1871
504	1904	1866
505	1906	1861
506	1909	1856
507	1912	1852
508	1915	1847
509	1917	1842
510	1920	1837
511	1922	1832
512	1925	1827
513	1927	1822
514	1930	1818
515	1933	1813
516	1935	1808
517	1938	1803
518	1941	1799
519	1943	1794
520	1946	1789
521	1949	1784
522	1951	1780
523	1954	1775
524	1957	1770
525	1959	1766
526	1962	1761
527	1965	1756
528	1967	1752
529	1970	1747
530	1973	1742
531	1975	1738
532	1978	1733
533	1980	1728
534	1983	1723
535	1985	1718
536	1988	1714
537	1991	1709
538	1993	1705
539	1995	1700
540	1998	1695
541	2000	1690
542	2003	1685
543	2005	1681
544	2008	1676
545	2010	1672
546	2013	1667
547	2015	1662
548	2018	1658
549	2021	1653
550	2023	1648
551	2025	1644
552	2028	1639
553	2030	1634
554	2033	1630
555	2035	1625
556	2038	1621
557	2040	1616
558	2043	1611
559	2045	1607
560	2047	1602
561	2050	1597
562	2053	1593
563	2055	1589
564	2057	1584
565	2060	1579
566	2062	1575
567	2065	1570
568	2067	1566
569	2070	1561
570	2072	1557
571	2075	1553
572	2077	1548
573	2080	1543
574	2082	1539
575	2085	1535
576	2088	1531
577	2091	1526
578	2093	1522
579	2096	1517
580	2098	1513
581	2101	1509
582	2104	1505
583	2106	1500
584	2109	1496
585	2111	1491
586	2114	1487
587	2117	1483
588	2119	1479
589	2122	1474
590	2124	1470
591	2126	1465
592	2129	1461
593	2132	1457
594	2135	1453
595	2137	1448
596	2139	1444
597	2142	1439
598	2144	1435
599	2146	1431
600	2149	1426
601	2151	1422
602	2154	1418
603	2156	1413
604	2158	1409
605	2161	1405
606	2164	1401
607	2166	1396
608	2168	1392
609	2171	1388
610	2173	1383
611	2175	1379
612	2178	1375
613	2180	1371
614	2183	1366
615	2185	1362
616	2187	1358
617	2190	1353
618	2192	1349
619	2194	1345
620	2197	1341
621	2199	1336
622	2202	1332
623	2204	1328
624	2206	1324
625	2209	1319
626	2212	1315
627	2214	1311
628	2217	1307
629	2219	1303
630	2222	1299
631	2224	1295
632	2226	1291
633	2229	1287
634	2231	1282
635	2234	1278
636	2236	1274
637	2238	1270
638	2241	1266
639	2243	1262
640	2246	1258
641	2248	1253
642	2250	1249
643	2253	1245
644	2255	1241
645	2258	1237
646	2260	1233
647	2263	1229
648	2265	1225
649	2267	1221
650	2269	1216
651	2272	1212
652	2275	1209
653	2278	1205
654	2280	1201
655	2283	1197
656	2285	1193
657	2287	1189
658	2290	1185
659	2292	1181
660	2295	1177
661	2297	1172
662	2299	1168
663	2302	1164
664	2304	1160
665	2307	1157
666	2309	1153
667	2312	1149
668	2314	1145
669	2316	1141
670	2319	1137
671	2321	1133
672	2324	1129
673	2326	1125
674	2328	1121
675	2331	1117
676	2333	1113
677	2336	1109
678	2339	1105
679	2341	1101
680	2343	1097
681	2346	1093
682	2348	1089
683	2350	1086
684	2353	1082
685	2355	1078
686	2358	1074
687	2360	1070
688	2363	1066
689	2365	1062
690	2367	1058
691	2370	1055
692	2373	1051
693	2375	1047
694	2377	1043
695	2380	1039
696	2382	1035
697	2384	1031
698	2387	1028
699	2389	1024
700	2392	1020
701	2394	1016
702	2397	1012
703	2399	1008
704	2402	1005
705	2404	1001
706	2406	997
707	2409	993
708	2411	989
709	2413	985
710	2416	982
711	2418	978
712	2421	974
713	2423	970
714	2426	967
715	2428	963
716	2430	959
717	2433	955
718	2436	952
719	2438	948
720	2440	944
721	2443	940
722	2445	936
723	2447	933
724	2450	929
725	2452	925
726	2455	922
727	2457	918
728	2460	914
729	2462	910
730	2464	907
731	2467	903
732	2470	899
733	2472	896
734	2475	892
735	2477	888
736	2479	884
737	2482	881
738	2485	877
739	2487	874
740	2489	870
741	2492	866
742	2494	862
743	2497	859
744	2499	855
745	2502	851
746	2504	848
747	2506	844
748	2509	840
749	2511	837
750	2514	833
751	2516	829
752	2519	826
753	2521	822
754	2523	818
755	2526	815
756	2528	811
757	2531	808
758	2533	804
759	2536	800
760	2538	797
761	2541	793
762	2543	790
763	2546	786
764	2549	783
765	2551	779
766	2553	775
767	2556	772
768	2558	768
769	2561	765
770	2563	761
771	2566	757
772	2568	754
773	2570	750
774	2573	747
775	2575	743
776	2578	739
777	2580	736
778	2582	732
779	2585	729
780	2587	725
781	2589	722
782	2592	718
783	2595	714
784	2597	711
785	2599	707
786	2602	704
787	2604	700
788	2606	697
789	2609	693
790	2612	690
791	2614	686
792	2616	683
793	2619	679
794	2621	675
795	2623	672
796	2626	669
797	2628	665
798	2631	661
799	2633	658
800	2635	654
801	2638	651
802	2640	647
803	2643	644
804	2645	640
805	2648	637
806	2650	633
807	2652	630
808	2655	626
809	2658	623
810	2660	619
811	2662	616
812	2665	613
813	2667	609
814	2670	606
815	2672	602
816	2675	599
817	2677	595
818	2680	592
819	2682	588
820	2684	585
821	2687	581
822	2690	578
823	2692	575
824	2694	571
825	2697	568
826	2699	564
827	2701	561
828	2704	557
829	2706	554
830	2709	550
831	2711	547
832	2714	544
833	2716	540
834	2719	537
835	2721	533
836	2724	530
837	2726	527
838	2728	523
839	2731	520
840	2733	516
841	2735	513
842	2738	509
843	2740	506
844	2743	503
845	2745	499
846	2747	496
847	2750	492
848	2752	489
849	2755	486
850	2757	482
851	2760	479
852	2762	476
853	2765	472
854	2767	469
855	2770	465
856	2772	462
857	2774	459
858	2777	455
859	2779	452
860	2782	449
861	2784	445
862	2787	442
863	2789	439
864	2791	435
865	2794	432
866	2796	429
867	2799	425
868	2801	422
869	2804	419
870	2806	415
871	2808	412
872	2811	408
873	2813	405
874	2816	402
875	2818	398
876	2820	395
877	2823	392
878	2825	388
879	2828	385
880	2830	382
881	2832	379
882	2835	375
883	2837	372
884	2840	369
885	2842	365
886	2844	362
887	2847	359
888	2849	355
889	2852	352
890	2854	349
891	2856	345
892	2859	342
893	2861	339
894	2864	336
895	2866	332
896	2868	329
897	2871	326
898	2873	322
899	2875	319
900	2878	316
901	2880	313
902	2883	309
903	2885	306
904	2888	303
905	2890	299
906	2892	296
907	2895	293
908	2898	290
909	2901	286
910	2903	283
911	2905	280
912	2908	277
913	2910	273
914	2913	270
915	2915	267
916	2917	264
917	2920	260
918	2922	257
919	2925	254
920	2927	251
921	2930	247
922	2932	244
923	2934	241
924	2937	238
925	2939	234
926	2942	231
927	2944	228
928	2946	225
929	2949	221
930	2951	218
931	2953	215
932	2956	212
933	2958	209
934	2961	205
935	2963	202
936	2966	199
937	2968	196
938	2970	192
939	2973	189
940	2976	186
941	2978	183
942	2981	180
943	2983	177
944	2986	173
945	2988	170
946	2991	167
947	2993	164
948	2996	161
949	2998	157
950	3000	154
951	3003	151
952	3005	148
953	3008	145
954	3010	141
955	3013	138
956	3015	135
957	3017	132
958	3020	129
959	3022	125
960	3025	122
961	3027	119
962	3029	116
963	3032	113
964	3034	110
965	3037	106
966	3039	103
967	3042	100
968	3044	97
969	3046	94
970	3049	91
971	3051	87
972	3054	84
973	3056	81
974	3059	78
975	3061	75
976	3063	72
977	3066	68
978	3068	65
979	3071	62
980	3073	59
981	3075	56
982	3078	53
983	3080	50
984	3083	46
985	3085	43
986	3088	40
987	3090	37
988	3092	34
989	3095	31
990	3097	28
991	3099	24
992	3102	21
993	3104	18
994	3107	15
995	3109	12
996	3111	9
997	3114	6
998	3116	3
999	3119	0
