iter	Logloss
0	0.6915116161
1	0.6895567356
2	0.6878121485
3	0.6859646122
4	0.6838722742
5	0.6829936298
6	0.6817334518
7	0.6799617409
8	0.6778633997
9	0.6762070612
10	0.6741082691
11	0.6726632489
12	0.6706389693
13	0.6689821995
14	0.6669845364
15	0.665761627
16	0.6640758122
17	0.6626543483
18	0.661410403
19	0.6602014711
20	0.6594935958
21	0.6580196417
22	0.6567318905
23	0.6539470403
24	0.6525542214
25	0.6506712992
26	0.6490799408
27	0.6473264065
28	0.6465255927
29	0.6455581562
30	0.6439617032
31	0.6424916754
32	0.641595058
33	0.6410518688
34	0.6396373216
35	0.6383082843
36	0.6369814883
37	0.635962825
38	0.6345039662
39	0.6335375636
40	0.6324864316
41	0.6317671648
42	0.6310822563
43	0.6297048482
44	0.6285271531
45	0.6279716886
46	0.6266274601
47	0.6253081817
48	0.6240958143
49	0.6227240366
50	0.6217505462
51	0.620780659
52	0.6196466546
53	0.6192326793
54	0.6179399738
55	0.6170755984
56	0.6159626496
57	0.6149783219
58	0.6141715176
59	0.6130703366
60	0.6115267778
61	0.6107091298
62	0.6094838407
63	0.6084285949
64	0.6073669354
65	0.606473766
66	0.6060903981
67	0.6055665821
68	0.6044353127
69	0.6035636476
70	0.6030913219
71	0.6023330786
72	0.6015650087
73	0.6005259769
74	0.5994948444
75	0.5988726383
76	0.598103295
77	0.5969645511
78	0.5961759568
79	0.5948840767
80	0.5941905425
81	0.5934317484
82	0.5924966177
83	0.5919258077
84	0.5907582253
85	0.590066493
86	0.5896529223
87	0.5886860495
88	0.5875927282
89	0.5865365821
90	0.5856710007
91	0.5849160315
92	0.5843418104
93	0.5837853462
94	0.5832453402
95	0.5825259978
96	0.5819580487
97	0.5814084449
98	0.5806158624
99	0.5799859967
100	0.579233494
101	0.5788085716
102	0.5779587708
103	0.5774076095
104	0.5765214564
105	0.5762411164
106	0.5758127259
107	0.5752101501
108	0.5748805306
109	0.5743046858
110	0.5737775286
111	0.5728464422
112	0.5720805777
113	0.5712699797
114	0.5706886844
115	0.5702370439
116	0.5695685468
117	0.569241222
118	0.5684478635
119	0.5678702831
120	0.5672222276
121	0.5665729011
122	0.5656096545
123	0.5652061917
124	0.5648950747
125	0.5644249266
126	0.5635578324
127	0.5632381697
128	0.5625399417
129	0.562016649
130	0.5616259677
131	0.5612986091
132	0.5606490031
133	0.5598459494
134	0.5595623323
135	0.5589780145
136	0.5587102255
137	0.5580468459
138	0.5578641385
139	0.5571133357
140	0.5565214136
141	0.5561702639
142	0.5558062168
143	0.5552235312
144	0.5546033295
145	0.5541069051
146	0.553632351
147	0.5532039269
148	0.5527613161
149	0.5519766189
150	0.5514343492
151	0.5507880428
152	0.5502962743
153	0.5500296318
154	0.5496030666
155	0.5491152201
156	0.548331144
157	0.5479577239
158	0.5475456033
159	0.547231159
160	0.5466107855
161	0.5461033121
162	0.5457275324
163	0.5452734736
164	0.5448857679
165	0.5445944605
166	0.5442483445
167	0.5438945329
168	0.543348157
169	0.5427094096
170	0.5422849447
171	0.5417275076
172	0.5411123484
173	0.5405553593
174	0.5403495297
175	0.5398027747
176	0.5395131984
177	0.5389275356
178	0.5381973038
179	0.5376611566
180	0.5371347499
